5,0.3,bernoulli,100,100,25.32433,96,24.57344,26.07522,12.02889,100,11.70806,12.34972
5,0.3,bernoulli,200,100,17.98101,100,17.39183,18.57019,8.5,100,8.2874,8.7126
5,0.3,bernoulli,300,100,14.71197,100,14.21414,15.20979,6.96556,100,6.7841,7.14701
5,0.3,bernoulli,400,100,13.11597,100,12.72586,13.50607,6.07111,100,5.92801,6.21422
5,0.3,bernoulli,500,100,11.24446,100,10.8886,11.60033,5.41467,100,5.26852,5.56081
5,0.3,bernoulli,600,100,10.4441,100,10.10754,10.78065,4.91482,100,4.77543,5.0542
5,0.3,bernoulli,700,100,9.64245,100,9.3958,9.88909,4.49984,100,4.37516,4.62452
5,0.3,bernoulli,800,100,8.88952,100,8.61115,9.1679,4.18569,100,4.07639,4.295
5,0.3,bernoulli,900,100,8.30742,100,8.03886,8.57598,3.95407,100,3.8505,4.05765
5,0.3,bernoulli,1000,100,7.93453,100,7.67416,8.1949,3.74489,100,3.64164,3.84814
